Pipeline,Feature,Classifier,Micro_F1_holdout,Macro_F1_holdout,Precision@3_holdout,Recall@3_holdout,Micro_F1_CV_mean,Micro_F1_CV_std,Macro_F1_CV_mean,Macro_F1_CV_std
V-A (XLM-R-XNLI),Majority,Baseline,0.3003,0.0998,0.2709,0.4628,0.3010,0.0016,0.1001,0.0008
V-A (XLM-R-XNLI),TF-IDF (5k),RF,0.4604,0.4482,0.3781,0.6278,0.4626,0.0097,0.4505,0.0093
V-A (XLM-R-XNLI),SBERT-VN (768),RF,0.3584,0.3457,0.3204,0.5378,0.3590,0.0049,0.3473,0.0042
V-A (XLM-R-XNLI),SBERT-VN (768),LR,0.4307,0.4248,0.3551,0.5829,0.4405,0.0016,0.4341,0.0024
V-A (XLM-R-XNLI),SBERT-VN (768),SVM,0.4143,0.4112,0.3267,0.5229,0.4230,0.0056,0.4194,0.0057
V-A (XLM-R-XNLI),SVD-concat (1068),RF,0.3840,0.3697,0.3370,0.5684,0.3857,0.0074,0.3727,0.0073
V-A (XLM-R-XNLI),SVD-concat (1068),LR,0.4642,0.4563,0.3756,0.6188,0.4703,0.0036,0.4629,0.0034
V-A (XLM-R-XNLI),Raw-concat (5768),RF,0.4461,0.4328,0.3690,0.6214,0.4538,0.0065,0.4412,0.0064
V-A (XLM-R-XNLI),SBERT-ML (768),RF,0.4647,0.4532,0.3828,0.6433,0.4673,0.0077,0.4556,0.0078
V-B (mDeBERTa-XNLI),Majority,Baseline,0.3355,0.1087,0.2958,0.4976,,,,
V-B (mDeBERTa-XNLI),TF-IDF (5k),RF,0.4176,0.4025,0.3702,0.6170,,,,
V-B (mDeBERTa-XNLI),SBERT-VN (768),RF,0.3335,0.3142,0.3300,0.5495,,,,
V-B (mDeBERTa-XNLI),SBERT-VN (768),LR,0.3800,0.3703,0.3368,0.5405,,,,
V-B (mDeBERTa-XNLI),SBERT-VN (768),SVM,0.3701,0.3599,0.3147,0.5006,,,,
V-B (mDeBERTa-XNLI),SVD-concat (1068),RF,0.3379,0.3226,0.3361,0.5605,,,,
V-B (mDeBERTa-XNLI),SVD-concat (1068),LR,0.3997,0.3897,0.3495,0.5621,,,,
V-B (mDeBERTa-XNLI),Raw-concat (5768),RF,0.3949,0.3804,0.3593,0.5992,,,,
V-B (mDeBERTa-XNLI),SBERT-ML (768),RF,0.4101,0.3934,0.3708,0.6136,,,,
V-C (Gemini Flash-Lite),Majority,Baseline,0.2865,0.0707,0.3652,0.5281,0.2856,0.0010,0.0702,0.0005
V-C (Gemini Flash-Lite),TF-IDF (5k),RF,0.4375,0.4175,0.4487,0.6450,0.4230,0.0050,0.4018,0.0040
V-C (Gemini Flash-Lite),SBERT-VN (768),RF,0.3793,0.3563,0.4118,0.5957,0.3706,0.0076,0.3496,0.0069
V-C (Gemini Flash-Lite),SBERT-VN (768),LR,0.4401,0.4230,0.4125,0.5486,0.4237,0.0065,0.4071,0.0062
V-C (Gemini Flash-Lite),SBERT-VN (768),SVM,0.4135,0.4005,0.3601,0.4706,0.4112,0.0077,0.3975,0.0067
V-C (Gemini Flash-Lite),SVD-concat (1068),RF,0.3889,0.3706,0.4152,0.5997,0.3777,0.0074,0.3580,0.0059
V-C (Gemini Flash-Lite),SVD-concat (1068),LR,0.4509,0.4331,0.4254,0.5672,0.4267,0.0068,0.4102,0.0071
V-C (Gemini Flash-Lite),Raw-concat (5768),RF,not_run,not_run,not_run,not_run,,,,
V-C (Gemini Flash-Lite),SBERT-ML (768),RF,0.4814,0.4595,0.4838,0.6896,0.4663,0.0044,0.4463,0.0036
